0,Info,28/2/23 11:44,Service 'ymazeinLT' : Execution start,,
0,Info,Subject Identification,25 26 27 28 29 30 31 32,,
0,Info,Apparatus,148,,
0,Info,Unit ID,EAB8E5,,
30.74,Info,Arena,1,Enter_Zone,1
30.74,Info,Arena,2,Enter_Zone,1
30.74,Info,Arena,3,Enter_Zone,2
30.74,Info,Arena,4,Enter_Zone,1
30.74,Info,Arena,5,Enter_Zone,3
30.74,Info,Arena,6,Enter_Zone,4
30.74,Info,Arena,7,Enter_Zone,2
30.74,Info,Arena,8,Enter_Zone,3
31.14,Info,Arena,6,Exit_Zone,4
31.14,Info,Arena,6,Enter_Zone,2
31.741,Info,Arena,1,Exit_Zone,1
31.741,Info,Arena,1,Enter_Zone,4
31.94,Info,Arena,1,Exit_Zone,4
31.94,Info,Arena,1,Enter_Zone,3
32.14,Info,Arena,7,Exit_Zone,2
32.14,Info,Arena,7,Enter_Zone,1
32.14,Info,Arena,8,Exit_Zone,3
32.14,Info,Arena,8,Enter_Zone,1
32.34,Info,Arena,8,Exit_Zone,1
32.34,Info,Arena,8,Enter_Zone,3
32.54,Info,Arena,3,Exit_Zone,2
32.54,Info,Arena,3,Enter_Zone,4
32.54,Info,Arena,8,Exit_Zone,3
32.54,Info,Arena,8,Enter_Zone,1
32.74,Info,Arena,8,Exit_Zone,1
32.74,Info,Arena,8,Enter_Zone,3
32.94,Info,Arena,3,Exit_Zone,4
32.94,Info,Arena,3,Enter_Zone,1
32.94,Info,Arena,4,Exit_Zone,1
32.94,Info,Arena,4,Enter_Zone,4
33.54,Info,Arena,4,Exit_Zone,4
33.54,Info,Arena,4,Enter_Zone,3
34.14,Info,Arena,7,Exit_Zone,1
34.14,Info,Arena,7,Enter_Zone,4
34.54,Info,Arena,8,Exit_Zone,3
34.54,Info,Arena,8,Enter_Zone,1
34.74,Info,Arena,1,Exit_Zone,3
34.74,Info,Arena,1,Enter_Zone,2
34.74,Info,Arena,7,Exit_Zone,4
34.74,Info,Arena,7,Enter_Zone,2
34.74,Info,Arena,8,Exit_Zone,1
34.74,Info,Arena,8,Enter_Zone,3
35.14,Info,Arena,2,Exit_Zone,1
35.14,Info,Arena,2,Enter_Zone,4
35.14,Info,Arena,8,Exit_Zone,3
35.14,Info,Arena,8,Enter_Zone,1
35.34,Info,Arena,8,Exit_Zone,1
35.34,Info,Arena,8,Enter_Zone,3
35.54,Info,Arena,2,Exit_Zone,4
35.54,Info,Arena,2,Enter_Zone,2
35.94,Info,Arena,3,Exit_Zone,1
35.94,Info,Arena,3,Enter_Zone,4
36.34,Info,Arena,3,Exit_Zone,4
36.34,Info,Arena,3,Enter_Zone,2
36.34,Info,Arena,5,Exit_Zone,3
36.34,Info,Arena,5,Enter_Zone,4
36.74,Info,Arena,4,Exit_Zone,3
36.74,Info,Arena,4,Enter_Zone,4
36.94,Info,Arena,5,Exit_Zone,4
36.94,Info,Arena,5,Enter_Zone,1
36.94,Info,Arena,8,Exit_Zone,3
36.94,Info,Arena,8,Enter_Zone,1
37.14,Info,Arena,4,Exit_Zone,4
37.14,Info,Arena,4,Enter_Zone,1
37.34,Info,Arena,8,Exit_Zone,1
37.34,Info,Arena,8,Enter_Zone,3
38.34,Info,Arena,7,Exit_Zone,2
38.34,Info,Arena,7,Enter_Zone,1
39.14,Info,Arena,2,Exit_Zone,2
39.14,Info,Arena,2,Enter_Zone,1
39.74,Info,Arena,7,Exit_Zone,1
39.74,Info,Arena,7,Enter_Zone,3
40.141,Info,Arena,8,Exit_Zone,3
40.141,Info,Arena,8,Enter_Zone,4
40.34,Info,Arena,3,Exit_Zone,2
40.34,Info,Arena,3,Enter_Zone,1
40.34,Info,Arena,8,Exit_Zone,4
40.34,Info,Arena,8,Enter_Zone,2
40.54,Info,Arena,3,Exit_Zone,1
40.54,Info,Arena,3,Enter_Zone,2
40.54,Info,Arena,4,Exit_Zone,1
40.54,Info,Arena,4,Enter_Zone,4
40.94,Info,Arena,4,Exit_Zone,4
40.94,Info,Arena,4,Enter_Zone,2
42.54,Info,Arena,8,Exit_Zone,2
42.54,Info,Arena,8,Enter_Zone,4
42.74,Info,Arena,6,Exit_Zone,2
42.74,Info,Arena,6,Enter_Zone,4
42.74,Info,Arena,8,Exit_Zone,4
42.74,Info,Arena,8,Enter_Zone,1
42.94,Info,Arena,6,Exit_Zone,4
42.94,Info,Arena,6,Enter_Zone,3
42.94,Info,Arena,7,Exit_Zone,3
42.94,Info,Arena,7,Enter_Zone,2
43.34,Info,Arena,6,Exit_Zone,3
43.34,Info,Arena,6,Enter_Zone,2
43.54,Info,Arena,7,Exit_Zone,2
43.54,Info,Arena,7,Enter_Zone,1
43.74,Info,Arena,4,Exit_Zone,2
43.74,Info,Arena,4,Enter_Zone,4
43.74,Info,Arena,6,Exit_Zone,2
43.74,Info,Arena,6,Enter_Zone,3
43.94,Info,Arena,6,Exit_Zone,3
43.94,Info,Arena,6,Enter_Zone,2
44.34,Info,Arena,5,Exit_Zone,1
44.34,Info,Arena,5,Enter_Zone,3
44.54,Info,Arena,4,Exit_Zone,4
44.54,Info,Arena,4,Enter_Zone,2
44.54,Info,Arena,5,Exit_Zone,3
44.54,Info,Arena,5,Enter_Zone,1
44.54,Info,Arena,6,Exit_Zone,2
44.54,Info,Arena,6,Enter_Zone,3
45.14,Info,Arena,2,Exit_Zone,1
45.14,Info,Arena,2,Enter_Zone,4
45.14,Info,Arena,6,Exit_Zone,3
45.14,Info,Arena,6,Enter_Zone,4
45.34,Info,Arena,2,Exit_Zone,4
45.34,Info,Arena,2,Enter_Zone,3
45.34,Info,Arena,6,Exit_Zone,4
45.34,Info,Arena,6,Enter_Zone,2
45.54,Info,Arena,7,Exit_Zone,1
45.54,Info,Arena,7,Enter_Zone,4
