0,Info,28/2/23 14:09,Service 'ymazeinLT' : Execution start,,
0,Info,Subject Identification,57 58 59 60 61 62 166 177,,
0,Info,Apparatus,148,,
0,Info,Unit ID,EAB8E5,,
30.656,Info,Arena,1,Enter_Zone,2
30.656,Info,Arena,2,Enter_Zone,3
30.656,Info,Arena,3,Enter_Zone,1
30.656,Info,Arena,4,Enter_Zone,1
30.656,Info,Arena,5,Enter_Zone,2
30.656,Info,Arena,6,Enter_Zone,3
30.656,Info,Arena,7,Enter_Zone,3
30.656,Info,Arena,8,Enter_Zone,1
30.856,Info,Arena,4,Exit_Zone,1
30.856,Info,Arena,4,Enter_Zone,4
31.256,Info,Arena,4,Exit_Zone,4
31.256,Info,Arena,4,Enter_Zone,3
32.256,Info,Arena,2,Exit_Zone,3
32.256,Info,Arena,2,Enter_Zone,4
32.456,Info,Arena,2,Exit_Zone,4
32.456,Info,Arena,2,Enter_Zone,2
32.456,Info,Arena,5,Exit_Zone,2
32.456,Info,Arena,5,Enter_Zone,4
32.856,Info,Arena,1,Exit_Zone,2
32.856,Info,Arena,1,Enter_Zone,4
32.856,Info,Arena,5,Exit_Zone,4
32.856,Info,Arena,5,Enter_Zone,1
33.056,Info,Arena,1,Exit_Zone,4
33.056,Info,Arena,1,Enter_Zone,1
33.456,Info,Arena,4,Exit_Zone,3
33.456,Info,Arena,4,Enter_Zone,4
33.856,Info,Arena,4,Exit_Zone,4
33.856,Info,Arena,4,Enter_Zone,2
34.456,Info,Arena,1,Exit_Zone,1
34.456,Info,Arena,1,Enter_Zone,3
34.856,Info,Arena,5,Exit_Zone,1
34.856,Info,Arena,5,Enter_Zone,3
35.056,Info,Arena,1,Exit_Zone,3
35.056,Info,Arena,1,Enter_Zone,1
35.056,Info,Arena,3,Exit_Zone,1
35.056,Info,Arena,3,Enter_Zone,4
35.656,Info,Arena,1,Exit_Zone,1
35.656,Info,Arena,1,Enter_Zone,4
35.856,Info,Arena,3,Exit_Zone,4
35.856,Info,Arena,3,Enter_Zone,2
36.056,Info,Arena,2,Exit_Zone,2
36.056,Info,Arena,2,Enter_Zone,4
36.256,Info,Arena,1,Exit_Zone,4
36.256,Info,Arena,1,Enter_Zone,3
36.256,Info,Arena,2,Exit_Zone,4
36.256,Info,Arena,2,Enter_Zone,1
36.856,Info,Arena,5,Exit_Zone,3
36.856,Info,Arena,5,Enter_Zone,4
37.056,Info,Arena,4,Exit_Zone,2
37.056,Info,Arena,4,Enter_Zone,4
37.256,Info,Arena,5,Exit_Zone,4
37.256,Info,Arena,5,Enter_Zone,2
37.656,Info,Arena,2,Exit_Zone,1
37.656,Info,Arena,2,Enter_Zone,4
37.856,Info,Arena,4,Exit_Zone,4
37.856,Info,Arena,4,Enter_Zone,1
38.056,Info,Arena,2,Exit_Zone,4
38.056,Info,Arena,2,Enter_Zone,3
38.656,Info,Arena,1,Exit_Zone,3
38.656,Info,Arena,1,Enter_Zone,4
38.856,Info,Arena,1,Exit_Zone,4
38.856,Info,Arena,1,Enter_Zone,2
40.256,Info,Arena,3,Exit_Zone,2
40.256,Info,Arena,3,Enter_Zone,4
40.456,Info,Arena,4,Exit_Zone,1
40.456,Info,Arena,4,Enter_Zone,4
40.456,Info,Arena,5,Exit_Zone,2
40.456,Info,Arena,5,Enter_Zone,1
40.656,Info,Arena,2,Exit_Zone,3
40.656,Info,Arena,2,Enter_Zone,2
40.656,Info,Arena,3,Exit_Zone,4
40.656,Info,Arena,3,Enter_Zone,1
40.656,Info,Arena,4,Exit_Zone,4
40.656,Info,Arena,4,Enter_Zone,3
42.655,Info,Arena,1,Exit_Zone,2
42.655,Info,Arena,1,Enter_Zone,4
42.655,Info,Arena,5,Exit_Zone,1
42.655,Info,Arena,5,Enter_Zone,4
42.856,Info,Arena,1,Exit_Zone,4
42.856,Info,Arena,1,Enter_Zone,3
42.856,Info,Arena,5,Exit_Zone,4
42.856,Info,Arena,5,Enter_Zone,3
43.456,Info,Arena,2,Exit_Zone,2
43.456,Info,Arena,2,Enter_Zone,4
43.456,Info,Arena,6,Exit_Zone,3
43.456,Info,Arena,6,Enter_Zone,4
43.656,Info,Arena,2,Exit_Zone,4
43.656,Info,Arena,2,Enter_Zone,3
43.656,Info,Arena,6,Exit_Zone,4
43.656,Info,Arena,6,Enter_Zone,2
44.656,Info,Arena,5,Exit_Zone,3
