0,Info,28/2/23 10:30,Service 'ymazeinLT' : Execution start,,
0,Info,Subject Identification,9 11 12 13 14 16 105 108,,
0,Info,Apparatus,148,,
0,Info,Unit ID,EAB8E5,,
30.672,Info,Arena,1,Enter_Zone,2
30.672,Info,Arena,2,Enter_Zone,3
30.672,Info,Arena,3,Enter_Zone,2
30.672,Info,Arena,4,Enter_Zone,2
30.672,Info,Arena,5,Enter_Zone,3
30.672,Info,Arena,6,Enter_Zone,2
31.472,Info,Arena,4,Exit_Zone,2
31.472,Info,Arena,4,Enter_Zone,4
31.672,Info,Arena,4,Exit_Zone,4
31.672,Info,Arena,4,Enter_Zone,1
32.273,Info,Arena,1,Exit_Zone,2
32.273,Info,Arena,1,Enter_Zone,4
32.472,Info,Arena,5,Exit_Zone,3
32.472,Info,Arena,5,Enter_Zone,4
32.672,Info,Arena,1,Exit_Zone,4
32.672,Info,Arena,1,Enter_Zone,1
32.672,Info,Arena,5,Exit_Zone,4
32.672,Info,Arena,5,Enter_Zone,2
32.872,Info,Arena,5,Exit_Zone,2
32.872,Info,Arena,5,Enter_Zone,4
33.072,Info,Arena,5,Exit_Zone,4
33.072,Info,Arena,5,Enter_Zone,1
34.072,Info,Arena,3,Exit_Zone,2
34.072,Info,Arena,3,Enter_Zone,4
34.872,Info,Arena,3,Exit_Zone,4
34.872,Info,Arena,3,Enter_Zone,2
34.872,Info,Arena,4,Exit_Zone,1
34.872,Info,Arena,4,Enter_Zone,2
35.273,Info,Arena,1,Exit_Zone,1
35.273,Info,Arena,1,Enter_Zone,4
35.273,Info,Arena,5,Exit_Zone,1
35.273,Info,Arena,5,Enter_Zone,2
35.672,Info,Arena,1,Exit_Zone,4
35.672,Info,Arena,1,Enter_Zone,2
35.872,Info,Arena,1,Exit_Zone,2
35.872,Info,Arena,1,Enter_Zone,3
37.872,Info,Arena,5,Exit_Zone,2
37.872,Info,Arena,5,Enter_Zone,4
38.072,Info,Arena,1,Exit_Zone,3
