"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"1","1","1",41,9,7,5,6,3,5,5,10,3,2,4,7,3,5,0,84,34,118,41,5,34.7457627118644,4.23728813559322,28.8135593220339,71.1864406779661
"2","1","2",54,5,1,4,1,0,4,0,4,1,0,0,4,0,0,0,71,10,81,54,0,66.6666666666667,0,12.3456790123457,87.6543209876543
"3","1","3",58,2,1,1,1,0,1,0,2,0,0,0,1,0,0,0,67,3,70,58,0,82.8571428571429,0,4.28571428571429,95.7142857142857
"4","1","4",54,4,2,2,2,0,2,0,3,0,0,0,2,0,0,0,68,6,74,54,0,72.972972972973,0,8.10810810810811,91.8918918918919
"5","1","5",49,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,55,1,56,49,0,87.5,0,1.78571428571429,98.2142857142857
"6","1","6",59,3,3,0,3,1,0,0,3,0,1,0,0,0,0,0,72,4,76,59,2,77.6315789473684,2.63157894736842,5.26315789473684,94.7368421052632
"7","10","1",0,0,2,2,3,4,1,5,0,4,5,3,1,4,4,8,17,32,49,8,9,16.3265306122449,18.3673469387755,65.3061224489796,34.6938775510204
"8","10","2",0,0,0,0,0,1,0,2,0,0,1,2,0,2,2,38,3,48,51,38,2,74.5098039215686,3.92156862745098,94.1176470588235,5.88235294117647
"9","10","3",0,0,0,0,0,1,0,4,0,0,1,4,0,4,4,12,5,28,33,12,2,36.3636363636364,6.06060606060606,84.8484848484848,15.1515151515152
"10","10","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,39,39,36,0,92.3076923076923,0,100,0
"11","10","5",0,0,0,2,0,1,1,6,0,2,1,4,2,4,6,21,11,42,53,21,2,39.622641509434,3.77358490566038,79.2452830188679,20.7547169811321
"12","10","6",0,0,0,0,0,1,0,3,0,0,1,2,0,3,3,27,5,38,43,27,2,62.7906976744186,4.65116279069767,88.3720930232558,11.6279069767442
"13","100","1",1,3,4,0,2,6,1,2,3,1,5,3,2,1,2,0,21,18,39,1,11,2.56410256410256,28.2051282051282,46.1538461538462,53.8461538461538
"14","100","2",0,1,1,1,0,1,0,2,1,1,0,1,1,0,1,1,6,9,15,1,1,6.66666666666667,6.66666666666667,60,40
"15","100","3",0,0,0,3,0,0,0,8,0,3,0,4,3,4,7,66,11,90,101,66,0,65.3465346534653,0,89.1089108910891,10.8910891089109
"16","100","4",0,0,0,2,1,0,2,5,0,2,1,5,1,6,6,67,11,90,101,67,1,66.3366336633663,0.99009900990099,89.1089108910891,10.8910891089109
"17","100","5",0,0,0,0,0,2,0,4,0,0,1,5,0,4,4,65,7,81,88,65,3,73.8636363636364,3.40909090909091,92.0454545454545,7.95454545454545
"18","100","6",0,2,1,2,0,2,2,12,2,1,1,12,3,11,12,47,21,92,113,47,3,41.5929203539823,2.65486725663717,81.4159292035398,18.5840707964602
"19","101","1",8,7,11,4,13,13,5,5,7,9,15,5,3,7,5,3,68,55,123,11,28,8.94308943089431,22.7642276422764,44.7154471544715,55.2845528455285
"20","101","2",12,4,6,2,5,13,1,4,4,5,12,3,4,1,4,2,49,36,85,14,25,16.4705882352941,29.4117647058824,42.3529411764706,57.6470588235294
"21","101","3",19,11,16,4,16,3,2,3,10,9,3,1,3,1,3,3,75,35,110,22,6,20,5.45454545454545,31.8181818181818,68.1818181818182
"22","101","4",25,5,7,0,7,2,0,0,5,2,2,0,0,0,0,0,49,9,58,25,4,43.1034482758621,6.89655172413793,15.5172413793103,84.4827586206897
