"TIME","BIN_NUM","ENDPOINT","A1_Z1","A1_Z2","A1_Z3","A1_Z4","A2_Z1","A2_Z2","A2_Z3","A2_Z4","A3_Z1","A3_Z2","A3_Z3","A3_Z4","A4_Z1","A4_Z2","A4_Z3","A4_Z4","A5_Z1","A5_Z2","A5_Z3","A5_Z4","A6_Z1","A6_Z2","A6_Z3","A6_Z4","A7_Z1","A7_Z2","A7_Z3","A7_Z4","A8_Z1","A8_Z2","A8_Z3","A8_Z4"
31.933,1.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,26.2,0.0,0.0,0.0,0.0,17.3,0.0,0.0,13.4,0.0,17.3,17.8,0.0,0.0,0.0,0.0,21.2,0.0,0.0,9.5,0.0,0.0,0.0
31.933,1.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
31.933,1.000,"TOTAL_TIME_SPENT_IN_ZONE",0.980,0.000,0.000,0.000,0.000,0.000,0.979,0.000,0.000,0.978,0.000,0.000,0.000,0.000,0.978,0.000,0.000,0.333,0.078,0.564,0.976,0.000,0.000,0.000,0.000,0.975,0.000,0.000,0.975,0.000,0.000,0.000
32.934,2.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,0.0,0.0,13.9,0.0,0.0,4.5,0.0,0.0,0.0,0.0,21.2,0.0,0.0,0.0,30.6,0.0,23.9,0.0,0.0,0.0,30.1,4.5,0.0,8.9,18.9,0.0,0.0,0.0
32.934,2.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0
32.935,2.000,"TOTAL_TIME_SPENT_IN_ZONE",1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.678,0.021,0.000,0.299,1.000,0.000,0.000,0.000
33.936,3.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,37.9,0.0,5.0,0.0,0.0,21.7,0.0,0.0,0.0,32.9,0.0,16.1,59.0,0.0,12.2,21.7,0.0,0.0,0.0,8.4,0.0,0.0,0.0
33.936,3.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0
33.936,3.000,"TOTAL_TIME_SPENT_IN_ZONE",1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.817,0.000,0.183,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.152,0.781,0.000,0.066,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
34.937,4.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,0.0,0.0,33.4,0.0,42.3,0.0,0.0,8.9,0.0,0.0,28.4,12.8,0.0,0.0,22.8,8.4,0.0,37.9,0.0,0.0,30.6,0.0,0.0,0.0,21.2,0.0,0.0,0.0
