"TIME","BIN_NUM","ENDPOINT","A1_Z1","A1_Z2","A1_Z3","A1_Z4","A2_Z1","A2_Z2","A2_Z3","A2_Z4","A3_Z1","A3_Z2","A3_Z3","A3_Z4","A4_Z1","A4_Z2","A4_Z3","A4_Z4","A5_Z1","A5_Z2","A5_Z3","A5_Z4","A6_Z1","A6_Z2","A6_Z3","A6_Z4","A7_Z1","A7_Z2","A7_Z3","A7_Z4","A8_Z1","A8_Z2","A8_Z3","A8_Z4"
31.939,1.000,"TOTAL_DISTANCE_IN_ZONE",0.0,22.8,0.0,5.0,0.0,0.0,17.8,0.0,0.0,0.0,0.0,0.0,13.9,0.0,38.4,10.6,0.0,0.0,0.0,0.0,0.0,50.0,0.0,4.4,0.0,21.7,0.0,0.0,0.0,0.0,38.4,0.0
31.939,1.000,"TOTAL_ENTRIES_IN_ZONE",1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0
31.939,1.000,"TOTAL_TIME_SPENT_IN_ZONE",0.066,0.811,0.000,0.102,0.000,0.000,0.980,0.000,0.000,0.980,0.000,0.000,0.199,0.000,0.579,0.200,0.000,0.978,0.000,0.000,0.000,0.808,0.032,0.136,0.000,0.977,0.000,0.000,0.000,0.000,0.976,0.000
32.940,2.000,"TOTAL_DISTANCE_IN_ZONE",0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,22.2,0.0,0.0,44.5,0.0,0.0,0.0,40.0,5.0,5.0,0.0,21.1,0.0,0.0,0.0,0.0,45.6,0.0
32.941,2.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0
32.941,2.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.820,0.113,0.066,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000
33.942,3.000,"TOTAL_DISTANCE_IN_ZONE",0.0,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8,0.0,0.0,0.0,0.0,56.2,0.0,38.4,61.2,0.0,5.6,0.0,0.0,63.9,0.0,33.4,10.0,0.0,9.5,0.0,0.0,38.4,0.0
33.942,3.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0
33.942,3.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.215,0.751,0.000,0.033,0.000,0.000,1.000,0.000,0.547,0.185,0.000,0.266,0.000,0.000,1.000,0.000
34.943,4.000,"TOTAL_DISTANCE_IN_ZONE",0.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,0.0,0.0,0.0,0.0,17.2,0.0,21.7,0.0,0.0,0.0,8.9,0.0,30.0,13.9,28.4,0.0,0.0,0.0,0.0,0.0,40.6,0.0
34.943,4.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0
34.943,4.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.150,0.000,0.517,0.333,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
35.944,5.000,"TOTAL_DISTANCE_IN_ZONE",0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,150.1,73.4,292.4,0.0,9.5,0.0,0.0,0.0,31.1,0.0,0.0,8.9,25.6,0.0,0.0,22.8,0.0,0.0,33.4,0.0
35.944,5.000,"TOTAL_ENTRIES_IN_ZONE",0,2,0,1,0,0,1,0,0,1,0,0,3,2,4,0,1,0,0,0,1,0,0,1,1,1,1,2,0,0,1,0
35.944,5.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,0.766,0.000,0.233,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.099,0.052,0.848,0.000,1.000,0.000,0.000,0.000,0.815,0.000,0.000,0.184,0.449,0.066,0.050,0.433,0.000,0.000,1.000,0.000
36.945,6.000,"TOTAL_DISTANCE_IN_ZONE",0.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.0,0.0,9.5,80.1,8.3,0.0,73.4,0.0,0.0,0.0,0.0,5.6,43.9,9.5,86.2,0.0,110.1,8.9,0.0,0.0,20.6,0.0
36.945,6.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,0,0,1,0,0,1,0,0,1,2,1,0,1,0,0,0,0,1,1,2,2,0,2,1,0,0,1,0
36.945,6.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.033,0.047,0.919,0.000,1.000,0.000,0.000,0.000,0.000,0.099,0.785,0.114,0.251,0.000,0.515,0.233,0.000,0.000,1.000,0.000
