"TIME","BIN_NUM","ENDPOINT","A1_Z1","A1_Z2","A1_Z3","A1_Z4","A2_Z1","A2_Z2","A2_Z3","A2_Z4","A3_Z1","A3_Z2","A3_Z3","A3_Z4","A4_Z1","A4_Z2","A4_Z3","A4_Z4","A5_Z1","A5_Z2","A5_Z3","A5_Z4","A6_Z1","A6_Z2","A6_Z3","A6_Z4","A7_Z1","A7_Z2","A7_Z3","A7_Z4","A8_Z1","A8_Z2","A8_Z3","A8_Z4"
31.944,1.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,26.2,0.0,0.0,0.0,0.0,19.5,0.0,0.0,13.9,0.0,0.0,0.0,0.0,43.4,0.0,0.0,47.3,0.0,0.0,0.0,0.0,0.0,5.6,0.0,18.9,0.0,24.5,10.0
31.944,1.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1
31.944,1.000,"TOTAL_TIME_SPENT_IN_ZONE",0.981,0.000,0.000,0.000,0.981,0.000,0.000,0.000,0.000,0.980,0.000,0.000,0.979,0.000,0.000,0.000,0.000,0.978,0.000,0.000,0.978,0.000,0.000,0.000,0.000,0.000,0.977,0.000,0.431,0.000,0.244,0.299
32.945,2.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,40.1,0.0,0.0,0.0,0.0,44.5,0.0,0.0,16.7,0.0,0.0,0.0,0.0,8.4,0.0,0.0,33.4,0.0,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,47.3,0.0
32.945,2.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
32.945,2.000,"TOTAL_TIME_SPENT_IN_ZONE",1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000
33.946,3.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,21.7,0.0,0.0,0.0,46.8,0.0,0.0,12.8,17.3,0.0,0.0,0.0,0.0,31.7,0.0,0.0,57.4,0.0,0.0,0.0,0.0,0.0,18.4,0.0,4.5,0.0,25.6,34.0
33.947,3.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,2
33.947,3.000,"TOTAL_TIME_SPENT_IN_ZONE",1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.750,0.016,0.000,0.233,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.066,0.000,0.500,0.433
34.947,4.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,35.6,0.0,0.0,0.0,4.5,0.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,29.5,0.0,0.0,23.4,0.0,36.7,18.9,0.0,15.6,22.3,10.6,0.0,0.0,49.0,0.0
34.948,4.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0
34.948,4.000,"TOTAL_TIME_SPENT_IN_ZONE",1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.249,0.000,0.550,0.199,0.000,0.283,0.383,0.333,0.000,0.000,1.000,0.000
35.948,5.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,44.5,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,8.4,0.0,0.0,36.2,0.0,0.0,0.0,0.0,26.7,0.0
