"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"1","11","1",3,5,6,3,7,7,3,3,5,4,9,3,2,4,3,0,39,31,70,3,16,4.28571428571429,22.8571428571429,44.2857142857143,55.7142857142857
"2","11","2",15,5,4,3,4,4,6,2,4,2,4,5,2,5,2,6,44,32,76,21,8,27.6315789473684,10.5263157894737,42.1052631578947,57.8947368421053
"3","11","3",4,4,4,3,5,5,2,3,4,3,6,2,2,2,2,3,30,27,57,7,11,12.280701754386,19.2982456140351,47.3684210526316,52.6315789473684
"4","11","4",0,1,1,1,0,5,0,3,1,1,4,2,1,1,2,4,11,19,30,4,9,13.3333333333333,30,63.3333333333333,36.6666666666667
"5","11","5",0,0,1,0,0,3,0,1,0,1,3,1,1,1,1,1,7,10,17,1,6,5.88235294117647,35.2941176470588,58.8235294117647,41.1764705882353
"6","11","6",2,2,1,2,2,5,3,0,2,1,6,1,1,2,0,0,18,15,33,2,11,6.06060606060606,33.3333333333333,45.4545454545455,54.5454545454545
"7","12","1",9,9,6,7,7,5,8,3,9,5,6,4,7,4,3,1,56,40,96,10,11,10.4166666666667,11.4583333333333,41.6666666666667,58.3333333333333
"8","12","2",4,2,5,5,5,6,6,6,2,7,6,8,4,8,6,12,40,55,95,16,12,16.8421052631579,12.6315789473684,57.8947368421053,42.1052631578947
"9","12","3",0,0,0,2,0,2,2,7,0,2,2,7,2,6,6,5,13,33,46,5,4,10.8695652173913,8.69565217391304,71.7391304347826,28.2608695652174
"10","12","4",2,3,1,4,1,2,4,2,2,3,2,2,4,2,2,2,21,20,41,4,4,9.75609756097561,9.75609756097561,48.780487804878,51.219512195122
"11","12","5",11,3,3,1,2,8,1,1,3,1,7,1,1,1,1,1,31,18,49,12,15,24.4897959183673,30.6122448979592,36.734693877551,63.265306122449
"12","12","6",9,3,4,2,4,2,2,2,3,3,2,1,2,1,2,1,29,17,46,10,4,21.7391304347826,8.69565217391304,36.9565217391304,63.0434782608696
"13","13","1",12,2,0,2,1,0,1,1,3,0,1,0,1,1,1,0,22,7,29,12,1,41.3793103448276,3.44827586206897,24.1379310344828,75.8620689655172
"14","13","2",3,1,1,1,0,1,1,1,1,1,1,1,2,0,1,0,11,8,19,3,2,15.7894736842105,10.5263157894737,42.1052631578947,57.8947368421053
"15","13","3",9,1,1,2,2,0,1,3,2,2,0,2,2,2,3,1,22,14,36,10,0,27.7777777777778,0,38.8888888888889,61.1111111111111
"16","13","4",8,2,3,1,3,0,1,0,3,1,0,0,1,0,0,0,21,5,26,8,0,30.7692307692308,0,19.2307692307692,80.7692307692308
"17","13","5",2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,7,1,8,2,0,25,0,12.5,87.5
